,date,state,cases,deaths,total_population,num_deaths,mean_temp,precipitation,wind_speed,percent_smokers,percent_adults_with_obesity,percent_insufficient_sleep,state-code
6390,2020-04-20,Kentucky,3015,155.0,4274719.0,71093.0,53.93557692307692,0.01652173913043478,3.4810000000000003,21.98629588139815,35.326851851851856,38.54812626966667,21
6391,2020-04-21,Kentucky,3193,172.0,4279410.0,71186.0,58.472477064220186,0.007037037037037036,9.28857142857143,21.99095192401835,35.274311926605506,38.54170237385321,21
6392,2020-04-22,Kentucky,3337,185.0,4279410.0,71186.0,51.84495412844037,0.0007766990291262136,3.708571428571428,21.99095192401835,35.274311926605506,38.54170237385321,21
6393,2020-04-23,Kentucky,3548,194.0,4284364.0,71272.0,56.25272727272728,0.08906666666666667,5.4216981132075475,21.993025472063636,35.19909090909091,38.5233003006,21
6394,2020-04-24,Kentucky,3760,203.0,4284364.0,71272.0,57.94,0.4276315789473684,4.416981132075471,21.993025472063636,35.19909090909091,38.5233003006,21
6395,2020-04-25,Kentucky,3870,208.0,4284364.0,71272.0,56.056363636363635,0.016666666666666666,4.047169811320755,21.993025472063636,35.19909090909091,38.5233003006,21
6396,2020-04-26,Kentucky,4061,211.0,4284364.0,71272.0,51.279439252336445,0.5653424657534246,8.827184466019418,21.993025472063636,35.19909090909091,38.5233003006,21
6397,2020-04-27,Kentucky,4135,216.0,4284364.0,71272.0,50.94090909090909,0.1281372549019608,3.2160377358490564,21.993025472063636,35.19909090909091,38.5233003006,21
6398,2020-04-28,Kentucky,4347,231.0,4305020.0,71650.0,60.339285714285715,0.0036000000000000003,6.303703703703703,22.00090431711607,35.18839285714286,38.51299375960714,21
6399,2020-04-29,Kentucky,4507,235.0,4305020.0,71650.0,62.958928571428565,0.0461038961038961,9.283333333333333,22.00090431711607,35.18839285714286,38.51299375960714,21
6400,2020-04-30,Kentucky,4677,240.0,4305020.0,71650.0,51.77946428571429,0.2617105263157895,8.181481481481482,22.00090431711607,35.18839285714286,38.51299375960714,21
6401,2020-05-01,Kentucky,4841,248.0,4305020.0,71650.0,53.91339285714286,0.018210526315789472,4.942592592592592,22.00090431711607,35.18839285714286,38.51299375960714,21
6402,2020-05-02,Kentucky,4881,252.0,4305020.0,71650.0,64.08214285714286,0.0018867924528301887,6.132407407407407,22.00090431711607,35.18839285714286,38.51299375960714,21
6403,2020-05-03,Kentucky,5222,255.0,4305020.0,71650.0,70.56964285714285,0.04840425531914894,6.689814814814815,22.00090431711607,35.18839285714286,38.51299375960714,21
